Name,EventName,BankFile
string,string,string
bgm_bat_battle_1,event:/BGM/bgm_bat_battle_1,bgm_bat_battle_1
bgm_bat_battle_2,event:/BGM/bgm_bat_battle_2,bgm_bat_battle_2
bgm_bat_boss_1,event:/BGM/bgm_bat_boss_1,bgm_bat_boss_1
bgm_interface_main,event:/BGM/bgm_interface_main,bgm_interface_main
bgm_jingle_logo,event:/BGM/bgm_jingle_logo,bgm_jingle
bgm_jingle,event:/BGM/bgm_jingle,bgm_jingle
bgm_pve_lobby,event:/BGM/bgm_pve_lobby,bgm_pve_lobby
music_banquethall,event:/BGM/board/banquethall/music_banquethall,music_banquethall
music_barbtronplant,event:/BGM/board/barbtronplant/music_barbtronplant,music_barbtronplant
music_healingtemple,event:/BGM/board/healingtemple/music_healingtemple,music_healingtemple
music_mainlobby_u5_robot_1200,event:/BGM/mainlobby/music_mainlobby_u5_robot_1200,music_mainlobby_u5_robot
music_mainlobby_u5_robot,event:/BGM/mainlobby/music_mainlobby_u5_robot,music_mainlobby_u5_robot
music_mistforest,event:/BGM/board/mistforest/music_mistforest,music_mistforest
music_shipwerck,event:/BGM/board/shipwerck/music_shipwerck,music_shipwerck
music_mainlobby_u6_roacky,event:/BGM/mainlobby/music_mainlobby_u6_roacky,music_u6_main_lobby_rocky
music_under,event:/BGM/board/under/music_under,music_under
music_windyplains,event:/BGM/board/windyplains/music_windyplains,music_windyplains
