Name,WaveName,Content,HeroLevel,Modifiers,GridX,GridY,BoardElementName,BoardElementX,BoardElementY,RandomSeed
String,String,String,int,String,int,int,String,int,int,int
T1A,,WitchB1,,,2,5,,,,
,,StarSaunaB2,,,2,3,,,,
T2A,,FishermanB1,,,2,5,,,,
,,KnightB1,,,1,4,,,,
,,KnightB1,,,1,5,,,,
T1B,,WitchB1,,,2,7,,,,
T2B,,PekkaB1,,,4,4,,,,
T1C,,SwordsmanB1,,,3,4,,,,
T2C,,PekkaB1,,,4,4,,,,
B1,,BossLavaGolem,,,4,7,,,,
B2,,BossLavaGolem,,BossLavaGolem_LavaBurn,4,7,,,,
B3,,BossLavaGolem,,BossLavaGolem_LavaFrenzy,4,7,,,,
B4,,BossLavaGolem,,BossLavaGolem_LavaSmash,4,7,,,,
B5,,BossLavaGolem,,BossLavaGolem_LavaSoldier,4,7,,,,
B6,,BossLavaGolem,,BossLavaGolem_LavaBody,4,7,,,,
B7,,BossLavaGolem,,BossLavaGolem_LavaStrike,4,7,,,,
B8,,BossLavaGolem,,BossLavaGolem_LavaJustice,4,7,,,,
,,,,,,,,,,
A1,,HeroWaveMaster,15,,2,4,,,,
,,StarWarDrumB2,,,2,3,,,,
,,ArcherB1,,,1,5,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AI_Wave1,P1,,,,,,,,,
AI_Wave2,P1,,,,,,,,,
AI_Wave3,P1,,,,,,,,,
AI_Wave4,P1,,,,,,,,,
AI_Wave5,P1,,,,,,,,,
AI_Wave6,P1,,,,,,,,,
AI_Wave7,P1,,,,,,,,,
P1_Wave1,P1,,,,,,,,,
