Name,WaveName,Content,HeroLevel,Modifiers,GridX,GridY,BoardElementName,BoardElementX,BoardElementY,RandomSeed
string,string,string,int,string,int,int,string,int,int,int
PVE1-1,,SpearGoblinB1,,,2,3,,,,
,,SpearGoblinB1,,,1,3,,,,
,,SpearGoblinB1,,,,3,,,,
PVE1-2,,SpearGoblinB1,,,4,3,,,,
,,SpearGoblinB1,,,3,3,,,,
,,SpearGoblinB1,,,2,3,,,,
,,SpearGoblinB1,,,2,2,,,,
,,SpearGoblinB1,,,2,1,,,,
PVE1-3,,SpearGoblinB1,,,2,3,,,,
,,SpearGoblinB1,,,1,3,,,,
,,SpearGoblinB1,,,,3,,,,
,,SpearGoblinB1,,,2,2,,,,
,,SpearGoblinB1,,,2,1,,,,
,,SpearGoblinB1,,,2,,,,,
,,TankDummyB2,,,3,3,,,,
PVE2-1,,SpearGoblinB1,,,2,1,,,,
,,SpearGoblinB1,,,,1,,,,
,,KnightB1,,,2,3,,,,
,,KnightB1,,,,3,,,,
PVE2-2,,SpearGoblinB1,,,3,,,,,
,,SpearGoblinB1,,,2,1,,,,
,,SpearGoblinB1,,,1,2,,,,
,,KnightB1,,,4,1,,,,
,,KnightB1,,,3,2,,,,
,,KnightB1,,,2,3,,,,
PVE2-3,,SpearGoblinB1,,,3,2,,,,
,,SpearGoblinB1,,,2,2,,,,
,,SpearGoblinB1,,,3,1,,,,
,,SpearGoblinB1,,,2,1,,,,
,,KnightB1,,,1,3,,,,
,,KnightB1,,,,3,,,,
,,KnightB1,,,1,2,,,,
,,KnightB1,,,,2,,,,
PVE3-1,,MiniPekkaB1,,,3,3,,,,
,,MiniPekkaB1,,,2,3,,,,
PVE3-2,,MiniPekkaB1,,,4,2,,,,
,,MiniPekkaB1,,,3,2,,,,
,,MiniPekkaB1,,,2,2,,,,
,,KnightB1,,,3,3,,,,
PVE3-3,,MiniPekkaB1,,,4,3,,4,,
,,MiniPekkaB1,,,3,3,,,,
,,MiniPekkaB1,,,3,1,,,,
,,MiniPekkaB1,,,2,1,,,,
,,KnightB1,,,2,3,,,,
,,SpearGoblinB1,,,4,1,,,,
PVE4-1,,HeroBarbarian,1,,3,3,,,,
,,KnightB1,,,1,3,,,,
,,SpearGoblinB1,,,3,1,,,,
,,SpearGoblinB1,,,1,1,,,,
PVE4-2,,HeroBarbarian,1,,1,3,,,,
,,KnightB1,,,3,3,,,,
,,MiniPekkaB1,,,,3,,,,
,,SpearGoblinB1,,,2,1,,,,
,,SpearGoblinB1,,,1,1,,,,
,,SpearGoblinB1,,,,1,,,,
PVE4-3,,HeroBarbarian,1,,1,2,,,,
,,MiniPekkaB1,,,3,2,,,,
,,KnightB1,,,3,3,,,,
,,KnightB1,,,1,3,,,,
,,SpearGoblinB1,,,3,1,,,,
,,SpearGoblinB1,,,3,,,,,
,,SpearGoblinB1,,,1,1,,,,
,,SpearGoblinB1,,,1,,,,,
PVE5-1,,EliteArcherB1,,,,,,,,
,,TankDummyB2,,,3,2,,,,
,,TankDummyB2,,,1,2,,,,
PVE5-2,,EliteArcherB1,,,3,,,,,
,,EliteArcherB1,,,,,,,,
,,TankDummyB2,,,4,2,,,,
,,TankDummyB2,,,3,2,,,,
,,TankDummyB2,,,1,2,,,,
,,TankDummyB2,,,,2,,,,
PVE5-3,,EliteArcherB1,,,2,2,,,,
,,EliteArcherB1,,,2,1,,,,
,,EliteArcherB1,,,2,,,,,
,,TankDummyB2,,,4,3,,,,
,,TankDummyB2,,,3,3,,,,
,,TankDummyB2,,,2,3,,,,
,,TankDummyB2,,,1,3,,,,
,,TankDummyB2,,,,3,,,,
PVE6-1,,MinerB1,,,4,2,,,,
,,MinerB1,,,3,2,,,,
,,MinerB1,,,2,2,,,,
,,TankDummyB2,,,3,3,,,,
PVE6-2,,MinerB1,,,4,2,,,,
,,MinerB1,,,3,2,,,,
,,MinerB1,,,2,2,,,,
,,MinerB1,,,1,2,,,,
,,MinerB1,,,,2,,,,
,,TankDummyB2,,,2,3,,,,
,,TankDummyB2,,,1,3,,,,
,,TankDummyB2,,,,3,,,,
PVE6-3,,MinerB1,,,4,2,,,,
,,MinerB1,,,3,2,,,,
,,MinerB1,,,2,2,,,,
,,MinerB1,,,1,2,,,,
,,MinerB1,,,,2,,,,
,,KnightB1,,,3,3,,,,
,,KnightB1,,,1,3,,,,
PVE7-1,,HeroBarbarian,1,,3,3,,,,
,,MinerB1,,,2,2,,,,
,,EliteArcherB1,,,1,1,,,,
PVE7-2,,HeroBarbarian,1,,3,3,,,,
,,MinerB1,,,3,1,,,,
,,MinerB1,,,2,2,,,,
,,EliteArcherB1,,,1,1,,,,
,,MiniPekkaB1,,,1,3,,,,
PVE7-3,,HeroBarbarian,1,,1,3,,,,
,,EliteArcherB1,,,4,,,,,
,,EliteArcherB1,,,3,1,,,,
,,MinerB1,,,4,1,,,,
,,MinerB1,,,3,2,,,,
,,MinerB1,,,2,3,,,,
,,MiniPekkaB1,,,2,2,,,,
PVE8-1,,BattleHealerB1,,,4,3,,,,
,,BattleHealerB1,,,,3,,,,
PVE8-2,,BattleHealerB1,,,3,3,,,,
,,BattleHealerB1,,,2,3,,,,
,,BattleHealerB1,,,1,3,,,,
PVE8-3,,BattleHealerB1,,,3,3,,,,
,,BattleHealerB1,,,4,3,,,,
,,BattleHealerB1,,,1,3,,,,
,,BattleHealerB1,,,,3,,,,
PVE9-1,,BlowdartGoblinB1,,,1,,,,,
,,BlowdartGoblinB1,,,,,,,,
,,TankDummyB2,,,,3,,,,
PVE9-2,,BattleHealerB1,,,3,3,,,,
,,BlowdartGoblinB1,,,2,2,,,,
,,BlowdartGoblinB1,,,4,2,,,,
,,BlowdartGoblinB1,,,3,1,,,,
PVE9-3,,BlowdartGoblinB1,,,4,2,,,,
,,BlowdartGoblinB1,,,3,2,,,,
,,BlowdartGoblinB1,,,3,1,,,,
,,BlowdartGoblinB1,,,2,1,,,,
,,BattleHealerB1,,,3,3,,,,
,,BattleHealerB1,,,2,3,,,,
PVE10-1,,LumberjackB1,,,3,3,,,,
,,LumberjackB1,,,2,3,,,,
,,LumberjackB1,,,1,3,,,,
PVE10-2,,LumberjackB1,,,3,3,,,,
,,LumberjackB1,,,2,3,,,,
,,LumberjackB1,,,1,3,,,,
,,BlowdartGoblinB1,,,2,1,,,,
,,BlowdartGoblinB1,,,2,2,,,,
PVE10-3,,LumberjackB1,,,4,3,,,,
,,LumberjackB1,,,3,3,,,,
,,LumberjackB1,,,2,3,,,,
,,LumberjackB1,,,1,3,,,,
,,LumberjackB1,,,,3,,,,
,,BlowdartGoblinB1,,,2,2,,,,
,,BlowdartGoblinB1,,,2,1,,,,
PVE11-1,,HeroShieldMaiden,1,,2,3,,,,
,,BattleHealerB1,,,1,2,,,,
PVE11-2,,HeroShieldMaiden,1,,1,3,,,,
,,BlowdartGoblinB1,,,1,1,,,,
,,BlowdartGoblinB1,,,,1,,,,
,,BattleHealerB1,,,,3,,,,
PVE11-3,,HeroShieldMaiden,1,,1,2,,,,
,,BlowdartGoblinB1,,,4,1,,,,
,,BlowdartGoblinB1,,,3,1,,,,
,,LumberjackB1,,,2,3,,,,
,,LumberjackB1,,,1,3,,,,
,,BattleHealerB1,,,2,2,,,,
,,BattleHealerB1,,,3,2,,,,
PVE12-1,,BarbarianB1,,,2,2,,,,
,,BarbarianB1,,,3,2,,,,
,,LumberjackB1,,,2,3,,,,
PVE12-2,,BarbarianB1,,,3,2,,,,
,,BarbarianB1,,,2,2,,,,
,,BarbarianB1,,,1,2,,,,
,,BarbarianB1,,,,2,,,,
,,LumberjackB1,,,2,3,,,,
,,LumberjackB1,,,1,3,,,,
PVE12-3,,BarbarianB1,,,4,2,,,,
,,BarbarianB1,,,3,2,,,,
,,BarbarianB1,,,2,2,,,,
,,BarbarianB1,,,1,2,,,,
,,BarbarianB1,,,,2,,,,
,,LumberjackB1,,,3,3,,,,
,,LumberjackB1,,,1,3,,,,
,,BattleHealerB1,,,2,3,,,,
PVE13-1,,IceWizardB1,,,1,1,,,,
,,IceWizardB1,,,,1,,,,
,,BattleHealerB1,,,1,3,,,,
PVE13-2,,IceWizardB1,,,2,1,,,,
,,IceWizardB1,,,1,2,,,,
,,IceWizardB1,,,,3,,,,
,,BattleHealerB1,,,2,3,,,,
,,BattleHealerB1,,,3,2,,,,
PVE13-3,,IceWizardB1,,,4,1,,,,
,,IceWizardB1,,,3,1,,,,
,,IceWizardB1,,,2,1,,,,
,,IceWizardB1,,,1,1,,,,
,,IceWizardB1,,,,1,,,,
,,BattleHealerB1,,,4,3,,,,
,,BattleHealerB1,,,3,3,,,,
,,BattleHealerB1,,,2,3,,,,
PVE14-1,,HeroShieldMaiden,1,,2,3,,,,
,,BarbarianB1,,,4,2,,,,
,,BarbarianB1,,,3,2,,,,
,,BarbarianB1,,,2,2,,,,
PVE14-2,,HeroShieldMaiden,1,,2,3,,,,
,,IceWizardB1,,,2,,,,,
,,IceWizardB1,,,1,,,,,
,,IceWizardB1,,,,,,,,
,,BarbarianB1,,,4,2,,,,
,,BarbarianB1,,,3,2,,,,
,,BarbarianB1,,,2,2,,,,
PVE14-3,,HeroShieldMaiden,1,,2,3,,,,
,,BarbarianB1,,,2,2,,,,
,,BarbarianB1,,,1,2,,,,
,,BarbarianB1,,,,2,,,,
,,IceWizardB1,,,4,,,,,
,,IceWizardB1,,,3,,,,,
,,IceWizardB1,,,2,,,,,
,,LumberjackB1,,,3,3,,,,
,,LumberjackB1,,,1,3,,,,
PVE15-1,,ElectroWizardB1,,,,2,,,,
,,ShieldSkeletonB1,,,2,3,,,,
PVE15-2,,ElectroWizardB1,,,4,1,,,,
,,ElectroWizardB1,,,2,2,,,,
,,ShieldSkeletonB1,,,2,3,,,,
,,ShieldSkeletonB1,,,4,3,,,,
PVE15-3,,ElectroWizardB1,,,3,1,,,,
,,ElectroWizardB1,,,2,,,,,
,,ElectroWizardB1,,,1,1,,,,
,,ShieldSkeletonB1,,,3,3,,,,
,,ShieldSkeletonB1,,,1,3,,,,
,,BarrelB2,,,2,1,,,,
PVE16-1,,ElectroWizardB1,,,3,2,,,,
,,PekkaB1,,,1,3,,,,
PVE16-2,,ElectroWizardB1,,,3,2,,,,
,,PekkaB1,,,1,3,,,,
,,PekkaB1,,,,1,,,,
PVE16-3,,ElectroWizardB1,,,3,1,,,,
,,PekkaB1,,,1,3,,,,
,,PekkaB1,,,2,3,,,,
,,PekkaB1,,,3,3,,,,
PVE17-1,,AngelB1,,,3,1,,,,
,,PekkaB1,,,2,3,,,,
PVE17-2,,AngelB1,,,1,,,,,
,,PekkaB1,,,1,3,,,,
,,ElectroWizardB1,,,1,2,,,,
PVE17-3,,AngelB1,,,2,,,,,
,,PekkaB1,,,2,3,,,,
,,ElectroWizardB1,,,2,1,,,,
,,AngelB1,,,4,1,,,,
,,ElectroWizardB1,,,3,2,,,,
PVE18-1,,AngelB1,,,,,,,,
,,ValkyrieB1,,,2,,,,,
PVE18-2,,AngelB1,,,4,3,,,,
,,ValkyrieB1,,,2,3,,,,
,,ValkyrieB1,,,3,3,,,,
PVE18-3,,AngelB1,,,4,,,,,
,,AngelB1,,,,1,,,,
,,ValkyrieB1,,,3,1,,,,
,,ValkyrieB1,,,1,2,,,,
,,PekkaB1,,,2,2,,,,
PVE19-1,,ValkyrieB1,,,2,2,,,,
,,GiantSkeletonB1,,,2,3,,,,
PVE19-2,,ValkyrieB1,,,2,2,,,,
,,ValkyrieB1,,,1,1,,,,
,,GiantSkeletonB1,,,3,3,,,,
,,GiantSkeletonB1,,,1,3,,,,
PVE19-3,,ValkyrieB1,,,2,1,,,,
,,GiantSkeletonB1,,,3,,,,,
,,GiantSkeletonB1,,,4,1,,,,
,,GiantSkeletonB1,,,3,2,,,,
,,ElectroWizardB1,,,2,3,,,,
PVE20-1,,HeroRoyalChampion,,,1,1,,,,
,,ValkyrieB1,,,,1,,,,
,,GiantSkeletonB1,,,1,3,,,,
PVE20-2,,HeroRoyalChampion,,,3,1,,,,
,,ValkyrieB1,,,2,1,,,,
,,GiantSkeletonB1,,,3,3,,,,
,,GiantSkeletonB1,,,2,3,,,,
PVE20-3,,HeroRoyalChampion,,,,1,,,,
,,ValkyrieB1,,,2,2,,,,
