Name,WaveName,Content,HeroLevel,Modifiers,GridX,GridY,BoardElementName,BoardElementX,BoardElementY,RandomSeed
string,string,string,int,string,int,int,string,int,int,int
tu_1_1,,JEFFB1,,,3,2,,,,
,,JEFFB1,,,1,2,,,,
tu_1_2,,JEFFB1,,,3,2,,,,
,,JEFFB1,,,2,2,,,,
,,JEFFB1,,,1,2,,,,
tu_1_3,,JEFFB1,,,4,2,,,,
,,JEFFB1,,,3,2,,,,
,,JEFFB1,,,2,2,,,,
,,JEFFB1,,,1,2,,,,
,,JEFFB1,,,,2,,,,
tu_2_1,,JEFFB1,,,3,2,,,,
,,HeroBarbarian,,,2,3,,,,
tu_2_2,,JEFFB1,,,3,2,,,,
,,HeroBarbarian,,,2,3,,,,
,,JEFFB1,,,2,2,,,,
tu_2_3,,JEFFB1,,,3,2,,,,
,,HeroBarbarian,,,2,3,,,,
,,JEFFB1,,,3,3,,,,
,,JEFFB1,,,2,2,,,,
TU_M1_Wave1,tu_1_1,,,,,,,,,
TU_M1_Wave2,tu_1_2,,,,,,,,,
TU_M1_Wave3,tu_1_3,,,,,,,,,
TU_M2_Wave1,tu_2_1,,,,,,,,,
TU_M2_Wave2,tu_2_2,,,,,,,,,
TU_M2_Wave3,tu_2_3,,,,,,,,,
tr_dummy,,DummyB1,,,2,3,,,,
TR_M1_Wave1,tr_dummy,,,,,,,,,
TR_M1_Wave2,tr_dummy,,,,,,,,,
TR_M1_Wave3,tr_dummy,,,,,,,,,
TR_M1_Wave4,tr_dummy,,,,,,,,,
TR_M1_Wave5,tr_dummy,,,,,,,,,
B1,,BossLavaGolem,,,,,,,,
B2,,BossLavaGolem,,BossLavaGolem_LavaBurn,,,,,,
B3,,BossLavaGolem,,BossLavaGolem_LavaFrenzy,,,,,,
B4,,BossLavaGolem,,BossLavaGolem_LavaSmash,,,,,,
B5,,BossLavaGolem,,BossLavaGolem_LavaSoldier,,,,,,
B6,,BossLavaGolem,,BossLavaGolem_LavaBody,,,,,,
B7,,BossLavaGolem,,BossLavaGolem_LavaStrike,,,,,,
B8,,BossLavaGolem,,BossLavaGolem_LavaJustice,,,,,,
TP_T1_Wave1,B1,,,,,,,,,
TP_T1_Wave2,B2,,,,,,,,,
TP_T1_Wave3,B3,,,,,,,,,
TP_T1_Wave4,B4,,,,,,,,,
TP_T1_Wave5,B5,,,,,,,,,
TP_T2_Wave1,B4,,,,,,,,,
TP_T2_Wave2,B5,,,,,,,,,
TP_T2_Wave3,B6,,,,,,,,,
TP_T2_Wave4,B7,,,,,,,,,
TP_T2_Wave5,B8,,,,,,,,,
TP_T3_Wave1,B7,,,,,,,,,
TP_T3_Wave2,B8,,,,,,,,,
TP_T3_Wave3,B2,,,,,,,,,
TP_T3_Wave4,B5,,,,,,,,,
TP_T3_Wave5,B7,,,,,,,,,
