Name,TID,IconSWF,IconExportName,InstantDamagePercent,DamagePerHit,DamagePercentPerHit,HitFrequency,DamageReductionRate,DamageReductionValue,DamageReductionTagName,DamageCapValue,DamageIgnoresMitigation,HealPerHit,HealPercentPerHit,HealingReductionRate,HitSpeedMultiplier,SpeedMultiplier,SpawnSpeedMultiplier,InstantEnergyGained,EnergyAddPerHit,NormalHitDisable,Invisible,RemoveOnAttack,RemoveOnHeal,RemoveOnHit,DamageOnHit,DamageMultiplier,DamageTakenMultiplier,BonusDamagePoint,BonusDamageToIsolated,CriticalRateMultiplier,EnergySteal,EnergyStealToIsolated,Effect,TargetedEffect,FilterFile,FilterExportName,FilterAffectsTransformation,FilterInheritLifeDuration,IgnorePushBack,MarkEffect,AudioPitchModifier,Portal,ControlledByParent,Clone,Scale,AdditiveEffect,ChainedBuff,ChainedBuffTime,ContinuousEffect,SpawnStartTime,SpawnNumber,SpawnInterval,SpawnPauseTime,SpawnObject,SpawnLimit,SpawnLevelIndex,SpawnObjectStartingBuff,SpawnObjectStartingBuffTime,SpawnDestroyMe,DeathSpawn,DeathSpawnIsEnemy,DeathSpawnCount,HitpointMultiplier,BonusMaxHitpoint,Shield,InstantDispelBuffTypeMask,RemoveEffect,DeathTriggerBuff,DeathTriggerBuffTime,DeathTriggerBuffOnEnemy,DeathTriggerTargetTag,DeathTriggerTargetNum,DeathTriggerAreaEffect,DeathGoToBuffOwner,PreventDeathGoToBuffOwner,HealthThreshold,RemoveOnHealthThreshold,ConditionBuff,CheckCondition,CheckConditionMethod,StackingBuff,StackingBuffCount,IsRevive,ReviveDelaySeconds,ReviveHealth,ReviveHealthPercent,ReviveEnergy,ReviveStartEffect,BuffOnKill,BuffOnKillTime,IsUntargetable,IsUntouchable,KickDirection,BonusTagBuff,BonusTagName,DamageReflectionRate,DamageReflectionValue,ReflectionRange,ReflectionEffect,ReflectionProjectile,IsFreeze,ControlLevel,ImmuneToControlLevel,ImmuneBonusBuff,ImmuneBonusBuffTime,CanReflectControlBuff,DelayControlLevel,IsWizardClone,BuffOnWizardClone,BuffOnDamageSource,BuffOnDamageSourceTime,BuffOnDamageTarget,BuffOnDamageTargetTime,BuffOnAttack,BuffOnAttackTime,HasDodge,DodgeRate,DodgeType,ExtraBuffWithPeriod,ExtraBuffFrequency,ExtraBuffTime,PostAddDelayTime,KeepInPreBattle,GrantAbility,IsAbility,EnergyDisabled,IsTaunt,IsSilent,ModifyOverrideAttackChance,ForcedMoveDestinationType,ForcedMoveDestinationParameter,ForcedMoveCheckPushbackImmunity,ForcedMoveFixedTimeLength,ForcedMoveSpeed,ForcedMoveHeight,BattleEventWhenRemoved,BattleEventWhenMaxStack,InstantDeath,GainElixirStartTime,GainElixirInterval,GainElixirAmount,GainElixirLimit,GainElixirPauseTime,TargetRole,TargetType,ImmuneBuffTypeMask,OverrideAnimation,OverhealBuff,OverhealBuffTime
String,String,String,String,int,int,int,int,int,int,String,int,boolean,int,int,int,int,int,int,int,int,boolean,boolean,boolean,boolean,boolean,int,int,int,int,int,int,int,int,String,String,String,String,boolean,boolean,boolean,String,int,boolean,boolean,boolean,int,boolean,String,int,String,int,int,int,int,String,int,int,String,int,boolean,String,boolean,int,int,int,int,int,String,String,int,boolean,String,int,String,boolean,boolean,int,boolean,String,boolean,String,boolean,int,boolean,int,int,int,int,String,String,int,boolean,boolean,int,boolean,String,int,int,String,String,String,boolean,String,String,String,int,boolean,String,boolean,String,String,int,String,int,String,int,boolean,int,String,String,int,int,int,boolean,String,boolean,boolean,boolean,boolean,int,String,int,boolean,int,int,int,String,String,boolean,int,int,int,int,int,String,String,int,String,String,int
IceWizardSlowDown,,,,0,0,0,0,0,0,,0,FALSE,0,0,0,-35,-35,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,,,sc/effects.sc,,,,FALSE,,75,FALSE,FALSE,FALSE,0,FALSE,,0,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
ZapFreeze,,,,0,0,0,0,0,0,,0,FALSE,0,0,0,-100,-100,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,,,sc/effects.sc,,,,FALSE,,100,FALSE,FALSE,FALSE,0,FALSE,,0,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
Clone,,,,0,0,0,0,0,0,,0,FALSE,0,0,0,-100,-100,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,,,,,,,FALSE,,100,FALSE,FALSE,TRUE,0,FALSE,,0,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
Heal,,sc/ui_icons.sc,buff_heal,0,0,0,500,0,0,,0,FALSE,37,0,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,heal_hit,,sc/effects.sc,,,,FALSE,,100,FALSE,FALSE,FALSE,0,FALSE,,0,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
Invisibility,,,,0,0,0,0,0,0,,0,FALSE,0,0,0,0,0,0,0,0,,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,,,,,,,FALSE,,100,FALSE,FALSE,FALSE,0,FALSE,,0,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
RageModeRage,,,,0,0,0,0,0,0,,0,FALSE,0,0,0,135,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,,,sc/effects.sc,,,,FALSE,,125,FALSE,FALSE,FALSE,0,FALSE,,0,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
PoisonModePoison,,,,0,50,0,2000,0,0,,0,FALSE,0,0,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,,,sc/effects.sc,,,,FALSE,,100,FALSE,FALSE,FALSE,0,FALSE,,0,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
NOTINUSEB,,,,0,0,0,0,0,0,,0,FALSE,0,0,0,-35,-35,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,,,sc/effects.sc,,,,FALSE,,75,FALSE,FALSE,FALSE,0,FALSE,,0,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
PowerCharge,,,,0,0,0,0,0,0,,0,FALSE,0,0,0,-100,-100,0,0,0,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,,,sc/effects.sc,,,,FALSE,,100,FALSE,FALSE,FALSE,0,FALSE,PowerChargeEnd,1000,,0,0,0,0,,0,,,0,FALSE,,,,,0,0,0,,,0,FALSE,,0,,FALSE,FALSE,0,FALSE,,,,FALSE,0,FALSE,0,0,0,0,,,0,FALSE,FALSE,,,,0,0,,,,FALSE,None,None,,0,FALSE,None,FALSE,,,0,,0,,0,FALSE,0,None,,0,0,0,FALSE,,FALSE,FALSE,FALSE,FALSE,0,None,0,FALSE,0,0,0,Invalid,Invalid,FALSE,0,0,0,0,0,All,All,0,,,0
