Name,IconSWF,IconExportName,UnitRenderSWF,Rarity,Tribe,IsInUse,SpecialModeOnly,ManaCost,IsHeroUnit,CharacterKeywords,BoardJumpMoveAnimLenStart,BoardJumpMoveAnimLenInAir,BoardJumpMoveAnimLenLanding,BoardJumpMoveAnimRotate,BoardColumnDamageMultiplier,BoardBackStabDamageInc,BoardBackStabCellNum,DeployTime,CanMove,Hitpoints,HitSpeed,Armor,Damage,LifeTime,BuffOnDamage,BuffOnDamageTime,BuffOnDamageRate,BuffOnMove,BuffOnMoveTime,BuffOnFullHealth,BuffOnLastAlive,BuffOnLastAliveTime,MaxEnergy,AutoGainedEnergyPerSecond,AutoGainedEnergyFrequency,EnergyStartup,EnergyGainedOnAttack,EnergyGainedOnTakeDamage,EnergyGainedDamageCap,EnergyGainedOnCriticalHit,StartingBuff,StartingBuffTime,StartingBuffExtraStacks,StartingBuffTagMatch,ExtraStartingBuffs,ExtraStartingBuffsTime,SpawnEffect,DeploySound,IgnorePushback,ManaReward,CollisionRadius,HealthBarOffsetZ,FloatTextOffsetY,SpawnRadius,TakeDamageEffect,ProjectileStartRadius,ProjectileStartZ,TID,SkillTitle,SkillDesc,DefaultSkillIcon,PercentageDamage,HasRotationOnTimeline,ProjectileYOffset,ShieldHitpoints,ShieldDiePushback,ShieldLostEffect,IgnoreTargetsWithBuff,DeprioritizeTargetsWithBuff,ChessTag,TransformUnit,TransformByRow,TransformRowMin,TransformRowMax,DefaultSkin,CriticalHitRate,CriticalHitMulti,CriticalHitInc,BattleTaskData,PerStarMod,PerStarHitpoints,PerStarHitSpeed,PerStarEnergyStartup,PerStarDamage,PerStarScale,UpgradeModifier1,UpgradeModifier2,UpgradeModifier3,ModifierLevel1,ModifierLevel2,ModifierLevel3,AttackAbility,AttackAbility2,AttackAbilityRate,StartupAbility,Ability1,DeathAbility,NotCountForWinCondition,NoKOState,IsBuilding,StarCost,FacingEnemyByDefault
String,String,String,String,String,String,boolean,boolean,int,boolean,String,int,int,int,int,int,int,int,int,boolean,int,int,int,int,int,String,int,int,String,int,String,String,int,int,int,int,int,int,int,int,int,String,int,int,boolean,String,String,String,String,boolean,int,int,int,int,int,String,int,int,String,String,String,String,int,boolean,int,int,int,String,String,boolean,String,String,boolean,int,int,String,int,int,int,String,String,int,int,int,int,int,String,String,String,int,int,int,String,String,int,String,String,String,boolean,boolean,boolean,int,boolean
KnightB1,sc/ui_icons.sc,knight,sc/ui_cards.sc,Common,,TRUE,FALSE,2,FALSE,,50,450,50,50,,0,0,1000,TRUE,11,500,0,1,0,,0,0,,0,,,,0,0,0,0,0,0,0,1,,0,0,,,,,,FALSE,0,1000,3500,35,,,450,450,TID_BCHARACTER_KNIGHT,TID_SKILL_TITLE_KNIGHT,TID_SKILL_KNIGHT,knight_00,,,0,0,,,,,,,FALSE,0,0,Knightlv1,0,100,1,,,3,100,0,0,0,Knight_Shield_Base,Knight_C,Knight_Heal,2,3,4,knight_attack,,,knight_taunt,,,FALSE,FALSE,FALSE,0,TRUE
BarbarianB1,sc/ui_icons.sc,barbarian,sc/ui_cards.sc,Common,,TRUE,FALSE,2,FALSE,,50,450,50,50,,0,0,1000,TRUE,8,600,0,1,0,,0,0,,0,,,,0,0,0,0,1,1,0,1,,0,0,,,,,,FALSE,0,1000,3000,35,,,450,450,TID_BCHARACTER_BARBARIAN,TID_SKILL_TITLE_BARBARIAN,TID_SKILL_BARBARIAN,barbarian_08,,,0,0,,,,,,,FALSE,0,0,Barbarianlv1,0,100,1,,,2,100,0,0,0,Barbarian_Rampage,Barbarian_A,Barbarian_C,2,3,4,barbarian_attack,,,,,,FALSE,FALSE,FALSE,0,TRUE
FishermanB1,sc/ui_icons.sc,fisherman,sc/ui_cards.sc,Common,,TRUE,FALSE,3,FALSE,,50,450,50,50,,0,0,2500,TRUE,11,450,0,2,0,,0,0,,0,,,,0,0,0,0,0,0,0,1,,0,0,,,,,,FALSE,0,1300,3000,35,800,,450,450,TID_BCHARACTER_FISHERMAN,TID_SKILL_TITLE_FISHERMAN,TID_SKILL_FISHERMAN,fishman_00,,,0,0,,,,,,,FALSE,0,0,Fishermanlv1,0,100,1,,,2,150,0,0,0,Fisherman_Mod,Fisherman_A,Fisherman_E,2,3,4,fisherman_attack,,,fisherman_start_straight,,,FALSE,FALSE,FALSE,0,TRUE
MinerB1,sc/ui_icons.sc,miner,sc/ui_cards.sc,Common,,TRUE,FALSE,2,FALSE,,0,500,0,50,,0,0,1000,TRUE,6,500,0,2,0,,0,0,,0,,,,0,0,0,0,0,0,0,1,,0,0,,,,,,FALSE,0,1000,3000,35,,,450,450,TID_BCHARACTER_MINER,TID_SKILL_TITLE_MINER,TID_SKILL_MINER,miner_00,,,0,0,,,,,,,FALSE,0,0,Minerlv1,0,100,1,,,2,100,0,0,0,Miner_Mod,Miner_Dissipate,Miner_Cleave,2,3,4,miner_attack,,,miner_prebattle_jump,,,FALSE,FALSE,FALSE,0,TRUE
ArcherB1,sc/ui_icons.sc,archer,sc/ui_cards.sc,Rare,,TRUE,FALSE,2,FALSE,,50,450,50,50,,0,0,1000,TRUE,6,600,0,1,0,,0,0,,0,,,,0,0,0,0,0,0,0,1,,0,0,,,,,,FALSE,0,1200,3000,35,,,450,450,TID_BCHARACTER_ARCHER,TID_SKILL_TITLE_ARCHER,TID_SKILL_ARCHER,archer_00,,,0,0,,,,,,,FALSE,0,0,Archerlv1,0,100,1,,,1,100,0,0,0,Archer_Mod,Archer_A,Archer_E,2,3,4,archer_attack,,,,,,FALSE,FALSE,FALSE,0,TRUE
SpearGoblinB1,sc/ui_icons.sc,speargoblin,sc/ui_cards.sc,Rare,,TRUE,FALSE,2,FALSE,,50,450,50,50,,0,0,1200,TRUE,6,600,0,1,0,,0,0,,0,,,,0,0,0,0,1,0,0,1,,0,0,,,,,,FALSE,0,1200,3000,-20,,,0,600,TID_BCHARACTER_SPEAR_GOBLIN,TID_SKILL_TITLE_SPEAR_GOBLIN,TID_SKILL_SPEAR_GOBLIN,spear_goblin_00,,,0,0,,,,,,,FALSE,0,0,Speargoblinlv1,0,100,1,,,1,100,0,0,0,SpearGoblin_Mod,SpearGoblin_A,SpearGoblin_C,2,3,4,speargoblin_attack,,,speargoblin_start,,,FALSE,FALSE,FALSE,0,TRUE
WizardB1,sc/ui_icons.sc,wizard,sc/ui_cards.sc,Common,,TRUE,FALSE,2,FALSE,,50,450,50,50,,0,0,1000,TRUE,6,400,0,1,0,,0,0,,0,,,,0,0,0,0,1,0,0,1,,0,0,,,,,,FALSE,0,1000,3000,35,,,550,1500,TID_BCHARACTER_WIZARD,TID_SKILL_TITLE_WIZARD,TID_SKILL_WIZARD,wizard_00,,,0,0,,,,,,,FALSE,0,0,Wizardlv1,0,100,1,,,1,100,0,0,0,Wizard_A,Wizard_B,Wizard_Mod,2,3,4,wizard_attack,,,,,,FALSE,FALSE,FALSE,0,TRUE
MusketeerB1,sc/ui_icons.sc,musketeer,sc/ui_cards.sc,Common,,TRUE,FALSE,3,FALSE,,50,450,50,50,,0,0,1000,TRUE,9,650,0,1,0,,0,0,,0,,,,4,0,0,0,1,0,0,1,,0,0,,,,,,FALSE,0,1300,3000,35,,,0,600,TID_BCHARACTER_MUSKETEER,TID_SKILL_TITLE_MUSKETEER,TID_SKILL_MUSKETEER,musketeer_00,,,0,0,,,,,,,FALSE,0,0,Musketeerlv1,0,100,1,,,2,100,0,0,0,Musketeer_Mod,Musketeer_B,Musketeer_C,2,3,4,musketeer_attack,,,,musketeer_special,,FALSE,FALSE,FALSE,0,TRUE
IceWizardB1,sc/ui_icons.sc,icewizard,sc/ui_cards.sc,Legendary,,TRUE,FALSE,2,FALSE,,50,450,50,50,,0,0,1000,TRUE,6,400,0,1,0,,0,0,,0,,,,0,0,0,0,0,0,0,1,,0,0,,,,,,FALSE,0,1000,3000,-20,,,550,1500,TID_BCHARACTER_ICE_WIZARD,TID_SKILL_TITLE_ICE_WIZARD,TID_SKILL_ICE_WIZARD,ice_wizard_00,,,0,0,,,,,,,FALSE,0,0,IceWizardlv1,0,100,1,,,1,100,0,0,0,IceWizard_Mod,IceWizard_A,IceWizard_E,2,3,4,icewizard_attack,,,,,,FALSE,FALSE,FALSE,0,TRUE
