Name,IconSWF,IconExportName,UnitRenderSWF,Rarity,Tribe,IsInUse,SpecialModeOnly,ManaCost,IsHeroUnit,CharacterKeywords,BoardJumpMoveAnimLenStart,BoardJumpMoveAnimLenInAir,BoardJumpMoveAnimLenLanding,BoardJumpMoveAnimRotate,BoardColumnDamageMultiplier,BoardBackStabDamageInc,BoardBackStabCellNum,DeployTime,CanMove,Hitpoints,HitSpeed,Armor,Damage,LifeTime,BuffOnDamage,BuffOnDamageTime,BuffOnDamageRate,BuffOnMove,BuffOnMoveTime,BuffOnFullHealth,BuffOnLastAlive,BuffOnLastAliveTime,MaxEnergy,AutoGainedEnergyPerSecond,AutoGainedEnergyFrequency,EnergyStartup,EnergyGainedOnAttack,EnergyGainedOnTakeDamage,EnergyGainedDamageCap,EnergyGainedOnCriticalHit,StartingBuff,StartingBuffTime,StartingBuffExtraStacks,StartingBuffTagMatch,ExtraStartingBuffs,ExtraStartingBuffsTime,SpawnEffect,DeploySound,IgnorePushback,ManaReward,CollisionRadius,HealthBarOffsetZ,FloatTextOffsetY,SpawnRadius,TakeDamageEffect,ProjectileStartRadius,ProjectileStartZ,TID,SkillTitle,SkillDesc,DefaultSkillIcon,PercentageDamage,HasRotationOnTimeline,ProjectileYOffset,ShieldHitpoints,ShieldDiePushback,ShieldLostEffect,IgnoreTargetsWithBuff,DeprioritizeTargetsWithBuff,ChessTag,TransformUnit,TransformByRow,TransformRowMin,TransformRowMax,DefaultSkin,CriticalHitRate,CriticalHitMulti,CriticalHitInc,BattleTaskData,PerStarMod,PerStarHitpoints,PerStarHitSpeed,PerStarEnergyStartup,PerStarDamage,PerStarScale,UpgradeModifier1,UpgradeModifier2,UpgradeModifier3,ModifierLevel1,ModifierLevel2,ModifierLevel3,AttackAbility,AttackAbility2,AttackAbilityRate,StartupAbility,Ability1,DeathAbility,NotCountForWinCondition,NoKOState,IsBuilding,StarCost,FacingEnemyByDefault
String,String,String,String,String,String,boolean,boolean,int,boolean,String,int,int,int,int,int,int,int,int,boolean,int,int,int,int,int,String,int,int,String,int,String,String,int,int,int,int,int,int,int,int,int,String,int,int,boolean,String,String,String,String,boolean,int,int,int,int,int,String,int,int,String,String,String,String,int,boolean,int,int,int,String,String,boolean,String,String,boolean,int,int,String,int,int,int,String,String,int,int,int,int,int,String,String,String,int,int,int,String,String,int,String,String,String,boolean,boolean,boolean,int,boolean
HeroBarbarian,sc/ui_icons.sc,hero_barbking,sc/ui_cards.sc,Common,,TRUE,FALSE,0,TRUE,,50,300,100,300,,0,0,1000,TRUE,12,700,0,1,0,,0,0,,0,,,0,10,0,0,0,1,1,0,0,,0,0,,,,unit_summon,,FALSE,0,1000,4500,35,,,450,450,TID_BHERO_BARBARIANKING,TID_SKILL1_TITLE_BARBARIANKING,TID_SKILL1_BARBARIANKING,barbarian_king_00,,,0,0,,,,,,,FALSE,0,0,BarbarianKinglv1,0,100,1,,,0,0,0,0,0,,,,0,0,0,herobarbarian_attack,,,,Hero_barbarian_special_atkbuff,,FALSE,FALSE,FALSE,0,TRUE
HeroMonk,sc/ui_icons.sc,hero_monk,sc/ui_cards.sc,Rare,,TRUE,FALSE,0,TRUE,,50,300,100,300,,0,0,1000,TRUE,12,600,0,1,0,,0,0,,0,,,0,10,0,0,0,1,1,0,0,,0,0,,,,unit_summon,,FALSE,0,1300,4500,35,,,0,0,TID_BHERO_OLDMONK,TID_SKILL1_TITLE_OLDMONK,TID_SKILL1_OLDMONK,old_monk_00,,,0,0,,,,,,,FALSE,0,0,Monklvl1,0,0,0,,,0,0,0,0,0,,,,0,0,0,heromonk_attack,,,,heromonk_special,,FALSE,FALSE,FALSE,0,TRUE
HeroShieldMaiden,sc/ui_icons.sc,hero_guardianmaiden,sc/ui_cards.sc,Rare,,TRUE,FALSE,0,TRUE,,50,300,100,300,,0,0,1000,TRUE,16,350,0,1,0,,0,0,,0,,,0,11,0,0,0,1,1,0,0,,0,0,,,,unit_summon,,FALSE,0,1000,4500,35,,,350,350,TID_BHERO_SHIELDMAIDEN,TID_SKILL1_TITLE_SHIELDMAIDEN,TID_SKILL1_SHIELDMAIDEN,shield_maiden_00,,,0,0,,,,,,,FALSE,0,0,ShieldMaidenlv1,0,100,1,,,0,0,0,0,0,,,,0,0,0,heroshieldangel_attack,,,,heroshieldangel_special,,FALSE,FALSE,FALSE,0,TRUE
HeroArcher,sc/ui_icons.sc,hero_archerqueen,sc/ui_cards.sc,Rare,,TRUE,FALSE,0,TRUE,,50,300,100,300,,0,0,1000,TRUE,11,800,0,1,0,,0,0,,0,,,0,7,0,0,0,1,0,0,0,,0,0,,,,unit_summon,,FALSE,0,1200,4500,35,,,450,450,TID_BHERO_ARCHERQUEEN,TID_SKILL1_TITLE_ARCHERQUEEN,TID_SKILL1_ARCHERQUEEN,archer_queen_00,,,0,0,,,,,,,FALSE,0,0,ArcherQueenlv1,0,100,1,,,0,0,0,0,0,,,,0,0,0,heroarcher_attack,,,,heroarcher_special,,FALSE,FALSE,FALSE,0,TRUE
HeroVampireGirl,sc/ui_icons.sc,hero_vampiregirl,sc/ui_cards.sc,Rare,,TRUE,FALSE,0,TRUE,,0,300,0,250,,0,0,1000,TRUE,10,800,0,1,0,,0,0,,0,,,0,6,0,0,0,1,1,0,0,,0,0,,,,unit_summon,,FALSE,0,1300,4000,35,,,0,0,TID_BHERO_VAMPIREGIRL,TID_SKILL1_TITLE_VAMPIREGIRL,TID_SKILL1_VAMPIREGIRL,vampire_countess_00,,,0,0,,,,,,,FALSE,0,0,VamplireGirllv1,0,100,1,,,0,0,0,0,0,,,,0,0,0,herovampiregirl_attack,,,,herovampiregirl_special,,FALSE,FALSE,FALSE,0,TRUE
d3lEoCMDpP,,,,,,,,0,FALSE,,0,0,0,0,,0,0,0,FALSE,0,0,0,0,0,,0,0,,0,,,,0,0,0,0,0,0,0,0,,0,0,,,,,,FALSE,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,FALSE,0,0,,0,0,0,,,0,0,0,0,0,,,,0,0,0,,,,,,,FALSE,FALSE,FALSE,0,FALSE
I9Ybi5k1Ct,,,,,,,,0,FALSE,,0,0,0,0,,0,0,0,FALSE,0,0,0,0,0,,0,0,,0,,,,0,0,0,0,0,0,0,0,,0,0,,,,,,FALSE,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,FALSE,0,0,,0,0,0,,,0,0,0,0,0,,,,0,0,0,,,,,,,FALSE,FALSE,FALSE,0,FALSE
1OUmQOioCl,,,,,,,,0,FALSE,,0,0,0,0,,0,0,0,FALSE,0,0,0,0,0,,0,0,,0,,,,0,0,0,0,0,0,0,0,,0,0,,,,,,FALSE,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,FALSE,0,0,,0,0,0,,,0,0,0,0,0,,,,0,0,0,,,,,,,FALSE,FALSE,FALSE,0,FALSE
HeroRoyalChampion,sc/ui_icons.sc,hero_royalchampion,sc/ui_cards.sc,Rare,,TRUE,FALSE,0,TRUE,,50,300,100,300,,0,0,1000,TRUE,12,700,0,1,0,,0,0,,0,,,0,7,0,0,0,1,0,0,0,,0,0,,,,unit_summon,,FALSE,0,1200,4000,35,,,0,600,TID_BHERO_ROYALCHAMPION,TID_SKILL1_TITLE_ROYALCHAMPION,TID_SKILL1_ROYALCHAMPION,royal_champion_02,,,0,0,,,,,,,FALSE,0,0,heroroyalchampionlv1,0,100,1,,,0,0,0,0,0,,,,0,0,0,heroroyalchampion_attack,,,,heroroyalchampion_special,,FALSE,FALSE,FALSE,0,TRUE
