Name,GridX,GridY,Tags
string,int,int,string
default,2,3,common
,3,3,all
,1,3,
,4,3,
,,3,
,3,,
,2,2,
,2,1,
,2,,
left,4,3,common
,3,3,all
,2,3,
,1,3,
,1,2,
,2,2,
,3,2,
,4,2,
right,1,3,common
,,3,all
,2,3,
,3,3,
,1,2,
,,2,
,2,2,
,3,2,
corner,4,3,common
,,3,all
,3,2,
,1,2,
,2,2,
,1,1,
,3,1,
,,,
,4,,
center,2,3,common
,2,2,all
,3,3,
,1,3,
,4,3,
,,3,
,1,2,
,3,2,
,1,1,
,3,1,
,2,1,
leftFocus,4,3,common
,4,2,all
,3,3,
,2,3,
,1,3,
,,3,
,3,,
,4,,
,3,2,
,3,1,
,4,1,
newbieFrontline,2,3,newbie
,3,3,all
,1,3,
,4,3,
,,3,
,2,2,
newbieBackline,2,,newbie
,3,,all
,1,,
,4,,
,,,
,4,1,
antiCountess,2,3,common
,1,2,antiCountess
,4,,expert
,3,3,all
,1,3,
,3,2,
,3,,
,4,1,
