Name,IconSWF,IconExportName,TID,DescTID,Music,SemiMusic,FinalMusic,WinRoundSound,LoseRoundSound,WinGameSound,LoseGameSound,IntroSound,TileDataFileName,Prefab,MinZoom,MaxZoom,ShadowType,ShadowDarkness,ShadowBias,ShadowColorR,ShadowColorG,ShadowColorB,BoardElements,BloomIntensity,BloomIterations,BloomThreshold,BloomSoftThreshold,DeployZoneRows,InRandomPool
String,String,String,String,String,String,String,String,string,string,string,string,String,String,String,float,float,int,int,int,int,int,int,String,int,int,int,int,int,boolean
WindyPlains,sc/ui_icons.sc,icon_board_windyplain,TID_BOARD_NAME_WINDY_PLAIN,TID_BOARD_DESC_WINDY_PLAIN,music_windyplains,,,jingle_windyplains_win,jingle_windyplains_loss,jingle_windyplains_game_win,jingle_windyplains_game_loss,,tilemaps/tilemap_chess.csv,prefabs/windy_plain,20,35,2,60,1,0,0,0,NoElement,100,5,87,0,4,TRUE
VampireCastle,sc/ui_icons.sc,icon_board_vampirecastle,TID_BOARD_NAME_VAMPIRE_CASTLE,TID_BOARD_DESC_VAMPIRE_CASTLE,music_banquethall,,,jingle_banquethall_win,jingle_banquethall_loss,jingle_banquethall_game_win,jingle_banquethall_game_loss,ui_bat_prop_mirror,tilemaps/tilemap_chess.csv,prefabs/vampire_castle,20,35,2,60,1,0,0,0,Mirror,200,5,87,0,4,TRUE
ElectroValley,sc/ui_icons.sc,icon_board_electrovalley,TID_BOARD_NAME_BARBTRON_PLANT,TID_BOARD_DESC_BARBTRON_PLANT,music_barbtronplant,,,jingle_barbtronplant_win,jingle_barbtronplant_loss,jingle_barbtronplant_game_win,jingle_barbtronplant_game_loss,ui_bat_prop_electrocharge,tilemaps/tilemap_chess.csv,prefabs/robot_factory,20,35,2,60,1,0,0,0,EnergyPad,200,5,87,0,4,TRUE
HealingTemple,sc/ui_icons.sc,icon_board_healingtemple,TID_BOARD_NAME_HEALING_TEMPLE,TID_BOARD_DESC_HEALING_TEMPLE,music_healingtemple,,,jingle_healingtemple_win,jingle_healingtemple_loss,jingle_healingtemple_game_win,jingle_healingtemple_game_loss,ui_bat_prop_goldcharge,tilemaps/tilemap_chess.csv,prefabs/healing_temple,20,35,2,60,1,0,0,0,Shield,140,5,87,0,4,TRUE
FishTown,sc/ui_icons.sc,icon_board_fishtown,TID_BOARD_NAME_FISH_TOWN,TID_BOARD_DESC_FISH_TOWN,music_shipwerck,,,jingle_shipwerck_win,jingle_shipwerck_loss,jingle_shipwerck_game_win,jingle_shipwerck_game_loss,ui_bat_prop_aqua,tilemaps/tilemap_chess.csv,prefabs/shipwreck,20,35,2,60,2,0,0,0,WaterPad,160,5,94,0,4,TRUE
LavaLand,,,TID_BOARD_NAME_LAVA_LAND,TID_BOARD_DESC_LAVE_LAND,bgm_bat_boss_1,,,,,,,ui_bat_prop_lavaland,tilemaps/tilemap_chess.csv,prefabs/lavaland,20,35,2,60,1,0,0,0,NoElement,200,5,87,5,4,FALSE
Under,sc/ui_icons.sc,icon_board_under,TID_BOARD_NAME_UNDER,TID_BOARD_DESC_UNDER,music_under,,,jingle_under_win,jingle_under_loss,jingle_under_game_win,jingle_under_game_loss,ui_bat_prop_under,tilemaps/tilemap_chess.csv,prefabs/under,20,35,2,60,1,0,0,0,Undying,100,5,87,0,4,TRUE
PVEHealingTemple,sc/ui_icons.sc,icon_board_healingtemple,TID_BOARD_NAME_HEALING_TEMPLE,TID_BOARD_DESC_HEALING_TEMPLE,music_healingtemple,,,jingle_healingtemple_win,jingle_healingtemple_loss,jingle_healingtemple_game_win,jingle_healingtemple_game_loss,ui_bat_prop_goldcharge,tilemaps/tilemap_chess.csv,prefabs/healing_temple,20,35,2,60,1,0,0,0,NoElement,140,5,87,0,4,FALSE
Forest,sc/ui_icons.sc,icon_board_healingtemple,TID_BOARD_NAME_MISTY_FOREST,TID_BOARD_DESC_MISTY_FOREST,music_mistforest,,,jingle_mistforest_win,jingle_mistforest_loss,,jingle_mistforest_game_loss,,tilemaps/tilemap_chess_7x8.csv,prefabs/forest,20,40,2,60,1,0,0,0,NoElement,140,5,87,0,4,FALSE
