Name,Chests,NotableReward
string,string,boolean
F28_W1_D1,close_gold_250,
F28_W1_D2,shop_miniHero_ArcherQueen_1,TRUE
F28_W1_D3,shop_unit_electroWizard,TRUE
F28_W1_D4,close_crown1_20,
F28_W1_D5,shop_unit_musketeer,TRUE
F28_W1_D6,close_crown2_10,
F28_W1_D7,trophyRoad_UnlockMini_Witch,TRUE
F28_W2_D1,close_gold_500,
F28_W2_D2,close_crown1_20,
F28_W2_D3,close_skillstone_15,
F28_W2_D4,close_crown2_10,
F28_W2_D5,close_crown3_5,
F28_W2_D6,close_CC_50,
F28_W2_D7,crown3_10,TRUE
F28_W3_D1,close_gold_500,
F28_W3_D2,close_skillstone_15,
F28_W3_D3,close_CC_50,
F28_W3_D4,close_gold_1000,
F28_W3_D5,close_crown2_10,
F28_W3_D6,close_crown3_5,
F28_W3_D7,close_CC_200,TRUE
F28_W4_D1,close_gold_500,
F28_W4_D2,close_crown1_30,
F28_W4_D3,crown2_15,
F28_W4_D4,close_skillstone_20,
F28_W4_D5,close_gold_2000,TRUE
F28_W4_D6,close_crown3_10,TRUE
F28_W4_D7,close_CC_300,TRUE
I7_D1,close_gold_250,
I7_D2,close_crown1_3,
I7_D3,close_seasonPoint_3,
I7_D4,close_skillstone_1,
I7_D5,close_gold_500,
I7_D6,close_crown2_1,
I7_D7,close_crown3_1,TRUE
