Name,Speed,Prefab,Model,Scale,Homing,HomingTime,HomingMinDistance,HitEffect,HitEffectAtProjectile,DeathEffect,Damage,DamageEffect,Pushback,PushbackAll,PushbackShortBuff,PushbackShortBuffTime,EndHitRange,TargetEnemies,TargetAllies,TargetSelf,SpawnAreaEffectObject,SpawnCharacter,SpawnConstPriority,SpawnCharacterCount,TargetBuff,BuffTime,BuffTimeIncreasePerLevel,TrailEffect,ProjectileRadius,ProjectileStartExtraRadius,ProjectileRange,CheckCollisions,SpawnProjectile,SpawnChain,SpawnAxisX,SpawnAxisY,MinDistance,MaxDistance,ConstantHeight,ArcHeight,Gravity,Heal,ChainedHitRange,ChainedHitCount,ChainedHitEndEffect,PingpongDeathEffect,ShakesTargets,ShakesShooter,PingpongVisualTime,DragType,DragBackSpeed,DragSelfSpeed,DragBackAsAttractor,DragMargin,DragEffect,AimingEffect,TargettedEffect,AngularDelay,PingpongMovingShooter,EnergyBurned,TargetBuildings,TargetMini,TargetHero
String,int,String,String,int,boolean,int,int,String,boolean,String,int,String,int,boolean,String,int,String,boolean,boolean,boolean,String,String,boolean,int,String,int,int,String,int,int,int,boolean,String,int,boolean,boolean,int,int,int,int,int,int,String,int,String,String,boolean,int,int,int,int,int,boolean,int,String,String,String,int,int,int,boolean,boolean,boolean
WizardB3Projectile,1500,,,1,TRUE,0,0,wizard_def_atk_hit_fireball_a1,FALSE,,1,wizard_def_atk_hit_fireball,0,FALSE,,0,Cross1,FALSE,FALSE,FALSE,,,,,,0,,wizard_def_atk_trail_fireball,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
WizardB3SuperProjectile,1500,,,1,TRUE,0,0,fireattack_hit,FALSE,,1,,0,FALSE,,0,,FALSE,FALSE,FALSE,FireRingB3,,,,,0,,wizard_fireaball_projectile_big,0,0,0,FALSE,,0,,,0,0,2000,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
WizardB3ProjectileSpecal,1500,,,1,TRUE,0,0,firering_ground,FALSE,,3,,0,FALSE,,0,Cross1,FALSE,FALSE,FALSE,,,,,WizardFireDebuff,4500,,wizard_fireaball_projectile_big,0,0,0,FALSE,,0,,,0,0,2000,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
ElectroWizardB3Projectile,5000,,,1,TRUE,0,0,,FALSE,,120,electrowizard_def_atk_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,electricity_beam01,,,0,FALSE,FALSE,FALSE
ElectroWizardSpecialProjectile3,5000,,,1,TRUE,0,0,,FALSE,,1,electricity_hit_effect_big,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,ElectroWizardFreeze,2000,,,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,electricity_beam02,,,0,FALSE,FALSE,FALSE
ArcherStartingArrow3,1800,,sc3d/pjt_archer_arrow.glb,100,FALSE,0,0,arrowweapon_hit,FALSE,,600,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,250,400,25000,TRUE,,0,,,0,0,2000,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
SpearGoblinStartingSpear,1800,,sc3d/pjt_spear_rig.glb,100,FALSE,0,0,speargoblin_def_ulti_hit,FALSE,,600,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,speargoblin_def_ulti_trail,250,400,25000,TRUE,,0,,,0,0,2000,0,0,0,,0,,,TRUE,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
ArcherB3Arrow,1000,,sc3d/pjt_archer_arrow.glb,100,TRUE,0,0,sfx_mini_archer_atk_hit,FALSE,,120,archer_def_atk_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,2000,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
ArcherB3ArrowRain,1000,,sc3d/pjt_archer_arrow.glb,100,TRUE,0,0,arrowweapon_hit,FALSE,,120,,0,FALSE,,0,Cross1,FALSE,FALSE,FALSE,,,,,,0,,arrow_trail,0,0,0,FALSE,,0,,,0,0,2000,0,20,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
