Name,StarCount,RewardChests
String,int,String
s1_s2,30,reset_gold_4000
,,reset_Hero_Small_60
,,reset_Mini_2_Cost_20
,,reset_Mini_3_Cost_20
,,reset_Mini_4_Cost_20
,,reset_NewMini_2
,,reset_CC_45
,40,reset_gold_6000
,,reset_Hero_Small_80
,,reset_Mini_2_Cost_30
,,reset_Mini_3_Cost_30
,,reset_Mini_4_Cost_30
,,reset_NewMini_4
,,reset_CC_65
,50,reset_gold_8000
,,reset_Hero_Mediem_100
,,reset_Mini_2_Cost_40
,,reset_Mini_3_Cost_40
,,reset_Mini_4_Cost_40
,,reset_NewMini_4
,,reset_CC_90
,60,reset_gold_10000
,,reset_Hero_Large_120
,,reset_Mini_2_Cost_45
,,reset_Mini_3_Cost_45
,,reset_Mini_4_Cost_45
,,reset_NewMini_6
,,shop_miniHero_Wavemaster_50
,,reset_CC_120
s2_s3,35,reset_gold_4000
,,reset_s2_3_Hero_60
,,reset_s2_3_Mini_20
,,reset_s2_3_NewMini_1
,,reset_CC_60
,45,reset_gold_6000
,,reset_s2_3_Hero_80
,,reset_s2_3_Mini_30
,,reset_s2_3_NewMini_2
,,reset_CC_100
,55,reset_gold_8000
,,reset_s2_3_Hero_100
,,reset_s2_3_Mini_40
,,reset_s2_3_NewMini_4
,,reset_s2_3_SkeletonKing_10
,,reset_CC_140
,65,reset_gold_10000
,,reset_s2_3_Hero_120
,,reset_s2_3_Mini_45
,,reset_s2_3_NewMini_6
,,reset_s2_3_SkeletonKing_50
,,reset_CC_180
s3_s4,35,reset_gold_4000
,,reset_s3_4_Hero_60
,,reset_s3_4_Mini_32
,,reset_CC_60
,45,reset_gold_6000
,,reset_s3_4_Hero_80
,,reset_s3_4_Mini_32
,,reset_CC_100
,55,reset_gold_8000
,,reset_s3_4_Hero_100
,,reset_s3_4_Mini_45
,,reset_CC_140
,65,reset_gold_10000
,,reset_s3_4_Hero_160
,,reset_s3_4_Mini_50
,,reset_CC_180
s4_s5,20,reset_gold_3000
,,reset_CC_50
,,crown1_20
,,crown2_10
,,crown3_5
,,starshard_100
,30,reset_gold_4000
,,reset_CC_60
,,crown1_30
,,crown2_15
,,crown3_10
,,starshard_100
,40,reset_gold_5000
,,reset_CC_80
,,crown1_35
,,crown2_20
,,crown3_12
,,starshard_100
,50,reset_gold_6000
,,reset_CC_100
,,crown1_40
,,crown2_25
,,crown3_15
,,starshard_100
,60,reset_gold_8000
,,reset_CC_140
,,crown1_45
,,crown2_30
,,crown3_18
,,starshard_100
,70,reset_gold_10000
,,reset_CC_180
,,crown1_50
,,crown2_35
,,crown3_20
,,starshard_100
,81,reset_gold_12000
,,reset_CC_300
,,crown1_60
,,crown2_40
,,crown3_25
,,starshard_100
s5_s6,20,reset_gold_3000
,,reset_CC_50
,,crown1_20
,,crown2_10
,,crown3_1
,,starshard_100
,30,reset_gold_4000
,,reset_CC_60
,,crown1_30
,,crown2_15
,,crown3_3
,,starshard_100
,40,reset_gold_5000
,,reset_CC_80
,,crown1_35
,,crown2_20
,,crown3_5
,,starshard_100
,50,reset_gold_6000
,,reset_CC_100
,,crown1_40
,,crown2_25
,,crown3_8
,,starshard_100
,60,reset_gold_8000
,,reset_CC_140
,,crown1_45
,,crown2_30
,,crown3_10
,,starshard_100
,70,reset_gold_10000
,,reset_CC_180
,,crown1_50
,,crown2_35
,,crown3_12
,,starshard_100
,81,reset_gold_12000
,,reset_CC_300
,,crown1_60
,,crown2_40
,,crown3_15
,,starshard_100
s6_s7,20,reset_gold_3000
,,reset_CC_50
,,crown1_20
,,crown2_10
,,crown3_1
,,starshard_100
,30,reset_gold_4000
,,reset_CC_60
,,crown1_30
,,crown2_15
,,crown3_3
,,starshard_100
,40,reset_gold_5000
,,reset_CC_80
,,crown1_35
,,crown2_20
,,crown3_5
,,starshard_100
,50,reset_gold_6000
,,reset_CC_100
,,crown1_40
,,crown2_25
,,crown3_8
,,starshard_100
,60,reset_gold_8000
,,reset_CC_140
,,crown1_45
,,crown2_30
,,crown3_10
,,starshard_100
,70,reset_gold_10000
,,reset_CC_180
,,crown1_50
,,crown2_35
,,crown3_12
,,starshard_100
,81,reset_gold_12000
,,reset_CC_300
,,crown1_60
,,crown2_40
,,crown3_15
,,starshard_100
